Gene,DiffusionScore
COPB2,0.00020354424303870315
TSFM,0.00020341613836968267
RPL24,0.000203335055053734
DNAJA3,0.00020325656678980554
DRG1,0.00020309370384627253
LYAR,0.0002029154150016596
PRDX1,0.00020290329578512813
CENPA,0.00020289733827478875
KARS,0.0002025788246258662
PMPCB,0.0002020825702865273
MRPS9,0.00020202234371694805
SEC22B,0.0002020011108248148
ZNF346,0.00020179437145559007
HDAC5,0.0002016860384112406
HNRNPDL,0.00020138868159108657
NIN,0.00020131344787136725
MECOM,0.00020090715613346654
PUF60,0.00020087576154850662
POLR2B,0.00020080707546254868
ITCH,0.0002004327430887721
CRK,0.0002002497238132917
PAXIP1,0.00020022840811659317
SRP68,0.00020021779227302703
RBPMS,0.00020014835523242714
